postcode,Municipality,Région name (French),Province name,Official language or language combination
1430,Rebecq-Rognon,Région wallonne,Brabant wallon (le),FR
1435,Mont-Saint-Guibert,Région wallonne,Brabant wallon (le),FR
1440,Braine-le-Château,Région wallonne,Brabant wallon (le),FR
1450,Saint-Géry,Région wallonne,Brabant wallon (le),FR
1457,Walhain-Saint-Paul,Région wallonne,Brabant wallon (le),FR
1460,Ittre,Région wallonne,Brabant wallon (le),FR
1461,Haut-Ittre,Région wallonne,Brabant wallon (le),FR
1470,Genappe,Région wallonne,Brabant wallon (le),FR
1470,Baisy-Thy,Région wallonne,Brabant wallon (le),FR
1471,Loupoigne,Région wallonne,Brabant wallon (le),FR
1472,Vieux-Genappe,Région wallonne,Brabant wallon (le),FR
1473,Glabais,Région wallonne,Brabant wallon (le),FR
1474,Ways,Région wallonne,Brabant wallon (le),FR
1476,Houtain-le-Val,Région wallonne,Brabant wallon (le),FR
1480,Tubize,Région wallonne,Brabant wallon (le),FR
1490,Court-Saint-Étienne,Région wallonne,Brabant wallon (le),FR
1495,Marbais,Région wallonne,Brabant wallon (le),FR
1500,Halle,Région flamande,Brabant flamand (le),NL
1501,Buizingen,Région flamande,Brabant flamand (le),NL
1502,Lembeek,Région flamande,Brabant flamand (le),NL
1540,Herne,Région flamande,Vlaams-Brabant,NL
1541,Sint-Pieters-Kapelle,Région flamande,Brabant flamand (le),NL
1547,Bever,Région flamande,Brabant flamand (le),NL-fr
1560,Hoeilaart,Région flamande,Brabant flamand (le),NL
1570,Tollembeek,Région flamande,Brabant flamand (le),NL
1600,Sint-Pieters-Leeuw,Région flamande,Brabant flamand (le),NL
1601,Ruisbroek,Région flamande,Brabant flamand (le),NL
1602,Vlezenbeek,Région flamande,Brabant flamand (le),NL
1620,Drogenbos,Région flamande,Brabant flamand (le),NL-fr
1630,Linkebeek,Région flamande,Brabant flamand (le),NL-fr
1640,Sint-Genesius-Rode,Région flamande,Vlaams-Brabant,NL-fr
1650,Beersel,Région flamande,Brabant flamand (le),NL
1651,Lot,Région flamande,Brabant flamand (le),NL
1652,Alsemberg,Région flamande,Brabant flamand (le),NL
1653,Dworp,Région flamande,Brabant flamand (le),NL
1654,Huizingen,Région flamande,Brabant flamand (le),NL
1670,Pepingen,Région flamande,Brabant flamand (le),NL
1671,Elingen,Région flamande,Brabant flamand (le),NL
1673,Beert,Région flamande,Brabant flamand (le),NL
1674,Bellingen,Région flamande,Brabant flamand (le),NL
1700,Dilbeek,Région flamande,Brabant flamand (le),NL
1701,Itterbeek,Région flamande,Brabant flamand (le),NL
1701,Dilbeek,Région flamande,Brabant flamand (le),NL
1702,Groot-Bijgaarden,Région flamande,Brabant flamand (le),NL
1703,Schepdaal,Région flamande,Brabant flamand (le),NL
1730,Asse,Région flamande,Brabant flamand (le),NL
1731,Relegem,Région flamande,Brabant flamand (le),NL
1733,Asse,Région flamande,Brabant flamand (le),NL
1740,Ternat,Région flamande,Brabant flamand (le),NL
1741,Wambeek,Région flamande,Brabant flamand (le),NL
1742,Sint-Katherina-Lombeek,Région flamande,Brabant flamand (le),NL
1745,Opwijk,Région flamande,Brabant flamand (le),NL
1750,Sint-Martens-Lennik,Région flamande,Brabant flamand (le),NL
1755,Leerbeek,Région flamande,Brabant flamand (le),NL
1760,Pamel,Région flamande,Brabant flamand (le),NL
1761,Borchtlombeek,Région flamande,Brabant flamand (le),NL
1770,Liedekerke,Région flamande,Brabant flamand (le),NL
1780,Wemmel,Région flamande,Brabant flamand (le),NL-fr
1785,Merchtem,Région flamande,Brabant flamand (le),NL
1790,Hekelgem,Région flamande,Brabant flamand (le),NL
1800,Vilvoorde,Région flamande,Brabant flamand (le),NL
1804,Vilvoorde,Région flamande,Brabant flamand (le),NL
1820,Steenokkerzeel,Région flamande,Brabant flamand (le),NL
1830,Machelen,Région flamande,Brabant flamand (le),NL
1831,Diegem,Région flamande,Brabant flamand (le),NL
1840,Londerzeel,Région flamande,Brabant flamand (le),NL
1850,Grimbergen,Région flamande,Brabant flamand (le),NL
1851,Humbeek,Région flamande,Brabant flamand (le),NL
1852,Beigem,Région flamande,Brabant flamand (le),NL
1853,Strombeek-Bever,Région flamande,Brabant flamand (le),NL
1860,Meise,Région flamande,Brabant flamand (le),NL
1861,Wolvertem,Région flamande,Brabant flamand (le),NL
1880,Kapelle-op-den-Bos,Région flamande,Brabant flamand (le),NL
1910,Kampenhout,Région flamande,Brabant flamand (le),NL
1930,Zaventem,Région flamande,Brabant flamand (le),NL
1931,Diegem,Région flamande,Brabant flamand (le),NL
1932,Sint-Stevens-Woluwe,Région flamande,Brabant flamand (le),NL
1933,Sterrebeek,Région flamande,Brabant flamand (le),NL
1934,Diegem,Région flamande,Brabant flamand (le),NL
1935,Zaventem,Région flamande,Brabant flamand (le),NL
1950,Kraainem,Région flamande,Brabant flamand (le),NL-fr
1970,Wezembeek-Oppem,Région flamande,Brabant flamand (le),NL-fr
1980,Zemst,Région flamande,Brabant flamand (le),NL
1980,Eppegem,Région flamande,Brabant flamand (le),NL
1981,Hofstade,Région flamande,Brabant flamand (le),NL
1982,Elewijt,Région flamande,Brabant flamand (le),NL
2000,Antwerpen,Région flamande,Antwerpen,NL
2018,Antwerpen,Région flamande,Antwerpen,NL
2020,Antwerpen,Région flamande,Antwerpen,NL
2030,Antwerpen,Région flamande,Antwerpen,NL
2040,Berendrecht-Zandvliet-Lillo,Région flamande,Antwerpen,NL
2050,Antwerpen,Région flamande,Antwerpen,NL
2060,Antwerpen,Région flamande,Antwerpen,NL
2070,Zwijndrecht,Région flamande,Antwerpen,NL
2099,Antwerpen,Région flamande,Antwerpen,NL
2100,Deurne,Région flamande,Antwerpen,NL
2110,Wijnegem,Région flamande,Antwerpen,NL
2140,Borgerhout,Région flamande,Antwerpen,NL
2150,Borsbeek,Région flamande,Antwerpen,NL
2160,Wommelgem,Région flamande,Antwerpen,NL
2170,Merksem,Région flamande,Antwerpen,NL
2180,Ekeren,Région flamande,Antwerpen,NL
2200,Herentals,Région flamande,Antwerpen,NL
2220,Heist-op-den-Berg,Région flamande,Antwerpen,NL
2221,Booischot,Région flamande,Antwerpen,NL
2222,Itegem,Région flamande,Antwerpen,NL
2223,Schriek,Région flamande,Antwerpen,NL
2230,Herselt,Région flamande,Antwerpen,NL
2235,Houtvenne,Région flamande,Antwerpen,NL
2240,Zandhoven,Région flamande,Antwerpen,NL
2242,Pulderbos,Région flamande,Antwerpen,NL
2243,Pulle,Région flamande,Antwerpen,NL
2250,Olen,Région flamande,Antwerpen,NL
2260,Tongerlo,Région flamande,Antwerpen,NL
2270,Herenthout,Région flamande,Antwerpen,NL
2275,Lille,Région flamande,Antwerpen,NL
2280,Grobbendonk,Région flamande,Antwerpen,NL
2288,Bouwel,Région flamande,Antwerpen,NL
2290,Vorselaar,Région flamande,Antwerpen,NL
2300,Turnhout,Région flamande,Antwerpen,NL
2310,Rijkevorsel,Région flamande,Antwerpen,NL
2320,Hoogstraten,Région flamande,Antwerpen,NL
2321,Meer,Région flamande,Antwerpen,NL
2323,Wortel,Région flamande,Antwerpen,NL
2328,Meerle,Région flamande,Antwerpen,NL
2330,Merksplas,Région flamande,Antwerpen,NL
2340,Beerse,Région flamande,Antwerpen,NL
2350,Vosselaar,Région flamande,Antwerpen,NL
2360,Oud-Turnhout,Région flamande,Antwerpen,NL
2370,Arendonk,Région flamande,Antwerpen,NL
2380,Ravels,Région flamande,Antwerpen,NL
2381,Weelde,Région flamande,Antwerpen,NL
2382,Poppel,Région flamande,Antwerpen,NL
2387,Baarle-Hertog,Région flamande,Antwerpen,NL
2390,Oostmalle,Région flamande,Antwerpen,NL
2400,Dessel,Région flamande,Antwerpen,NL
2430,Vorst,Région flamande,Antwerpen,NL
2431,Veerle,Région flamande,Antwerpen,NL
2440,Geel,Région flamande,Antwerpen,NL
2450,Meerhout,Région flamande,Antwerpen,NL
2460,Lichtaart,Région flamande,Antwerpen,NL
2470,Retie,Région flamande,Antwerpen,NL
2480,Dessel,Région flamande,Antwerpen,NL
2490,Balen,Région flamande,Antwerpen,NL
2491,Olmen,Région flamande,Antwerpen,NL
2500,Lier,Région flamande,Antwerpen,NL
2520,Broechem,Région flamande,Antwerpen,NL
2530,Boechout,Région flamande,Antwerpen,NL
2531,Vremde,Région flamande,Antwerpen,NL
2540,Hove,Région flamande,Antwerpen,NL
2547,Lint,Région flamande,Antwerpen,NL
2550,Kontich,Région flamande,Antwerpen,NL
2560,Kessel,Région flamande,Antwerpen,NL
2570,Duffel,Région flamande,Antwerpen,NL
2580,Putte,Région flamande,Antwerpen,NL
2590,Berlaar,Région flamande,Antwerpen,NL
2600,Berchem,Région flamande,Antwerpen,NL
2610,Wilrijk,Région flamande,Antwerpen,NL
2620,Hemiksem,Région flamande,Antwerpen,NL
2627,Schelle,Région flamande,Antwerpen,NL
2630,Aartselaar,Région flamande,Antwerpen,NL
2640,Mortsel,Région flamande,Antwerpen,NL
2650,Edegem,Région flamande,Antwerpen,NL
2660,Hoboken,Région flamande,Antwerpen,NL
2800,Mechelen,Région flamande,Antwerpen,NL
2801,Heffen,Région flamande,Antwerpen,NL
2811,Leest,Région flamande,Antwerpen,NL
2812,Muizen,Région flamande,Antwerpen,NL
2820,Bonheiden,Région flamande,Antwerpen,NL
2830,Willebroek,Région flamande,Antwerpen,NL
2840,Reet,Région flamande,Antwerpen,NL
2845,Niel,Région flamande,Antwerpen,NL
2850,Boom,Région flamande,Antwerpen,NL
2860,Sint-Katelijne-Waver,Région flamande,Antwerpen,NL
2861,Onze-Lieve-Vrouw-Waver,Région flamande,Antwerpen,NL
2870,Puurs,Région flamande,Antwerpen,NL
2880,Bornem,Région flamande,Antwerpen,NL
2890,Oppuurs,Région flamande,Antwerpen,NL
2900,Schoten,Région flamande,Antwerpen,NL
2910,Essen,Région flamande,Antwerpen,NL
2920,Kalmthout,Région flamande,Antwerpen,NL
2930,Brasschaat,Région flamande,Antwerpen,NL
2940,Stabroek,Région flamande,Antwerpen,NL
2950,Kapellen,Région flamande,Antwerpen,NL
2960,Brecht,Région flamande,Antwerpen,NL
2970,Schilde,Région flamande,Antwerpen,NL
2980,Zoersel,Région flamande,Antwerpen,NL
2990,Wuustwezel,Région flamande,Antwerpen,NL
3000,Leuven,Région flamande,Brabant flamand (le),NL
3000,Heverlee,Région flamande,Brabant flamand (le),NL
3001,Heverlee,Région flamande,Brabant flamand (le),NL
3010,Kessel-Lo,Région flamande,Brabant flamand (le),NL
3012,Wilsele,Région flamande,Brabant flamand (le),NL
3018,Wilsele,Région flamande,Brabant flamand (le),NL
3020,Winksele,Région flamande,Brabant flamand (le),NL
3040,Neerijse,Région flamande,Brabant flamand (le),NL
3050,Oud-Heverlee,Région flamande,Brabant flamand (le),NL
3051,Sint-Joris-Weert,Région flamande,Brabant flamand (le),NL
3052,Blanden,Région flamande,Brabant flamand (le),NL
3053,Haasrode,Région flamande,Brabant flamand (le),NL
3054,Vaalbeek,Région flamande,Brabant flamand (le),NL
3060,Bertem,Région flamande,Brabant flamand (le),NL
3061,Leefdaal,Région flamande,Brabant flamand (le),NL
3070,Kortenberg,Région flamande,Brabant flamand (le),NL
3071,Erps-Kwerps,Région flamande,Brabant flamand (le),NL
3078,Everberg,Région flamande,Brabant flamand (le),NL
3080,Tervuren,Région flamande,Brabant flamand (le),NL
3090,Overijse,Région flamande,Brabant flamand (le),NL
3110,Rotselaar,Région flamande,Brabant flamand (le),NL
3111,Wezemaal,Région flamande,Brabant flamand (le),NL
3118,Werchter,Région flamande,Brabant flamand (le),NL
3120,Tremelo,Région flamande,Brabant flamand (le),NL
3128,Baal,Région flamande,Brabant flamand (le),NL
3130,Betekom,Région flamande,Brabant flamand (le),NL
3140,Keerbergen,Région flamande,Brabant flamand (le),NL
3150,Haacht,Région flamande,Brabant flamand (le),NL
3190,Boortmeerbeek,Région flamande,Brabant flamand (le),NL
3191,Hever,Région flamande,Brabant flamand (le),NL
3200,Aarschot,Région flamande,Brabant flamand (le),NL
3201,Langdorp,Région flamande,Brabant flamand (le),NL
3202,Rillaar,Région flamande,Brabant flamand (le),NL
3210,Lubbeek,Région flamande,Brabant flamand (le),NL
3211,Binkom,Région flamande,Brabant flamand (le),NL
3212,Pellenberg,Région flamande,Vlaams-Brabant,NL
3220,Kortrijk-Dutsel,Région flamande,Brabant flamand (le),NL
3221,Nieuwrode,Région flamande,Brabant flamand (le),NL
3270,Scherpenheuvel,Région flamande,Brabant flamand (le),NL
3271,Zichem,Région flamande,Brabant flamand (le),NL
3272,Testelt,Région flamande,Vlaams-Brabant,NL
3290,Schaffen,Région flamande,Brabant flamand (le),NL
3293,Kaggevinne,Région flamande,Brabant flamand (le),NL
3294,Molenstede,Région flamande,Brabant flamand (le),NL
3300,Tienen,Région flamande,Brabant flamand (le),NL
3320,Hoegaarden,Région flamande,Brabant flamand (le),NL
3321,Outgaarden,Région flamande,Brabant flamand (le),NL
3350,Wommersom,Région flamande,Brabant flamand (le),NL
3360,Bierbeek,Région flamande,Brabant flamand (le),NL
3370,Vertrijk,Région flamande,Brabant flamand (le),NL
3380,Glabbeek-Zuurbemde,Région flamande,Brabant flamand (le),NL
3381,Kapellen,Région flamande,Brabant flamand (le),NL
3384,Attenrode,Région flamande,Brabant flamand (le),NL
3390,Tielt,Région flamande,Brabant flamand (le),NL
3391,Meensel-Kiezegem,Région flamande,Brabant flamand (le),NL
3400,Neerwinden,Région flamande,Brabant flamand (le),NL
3401,Walshoutem,Région flamande,Brabant flamand (le),NL
3404,Attenhoven,Région flamande,Brabant flamand (le),NL
3440,Zoutleeuw,Région flamande,Brabant flamand (le),NL
3450,Geetbets,Région flamande,Vlaams-Brabant,NL
3454,Rummen,Région flamande,Brabant flamand (le),NL
3460,Bekkevoort,Région flamande,Brabant flamand (le),NL
3461,Molenbeek-Wersbeek,Région flamande,Brabant flamand (le),NL
3470,Kortenaken,Région flamande,Brabant flamand (le),NL
3471,Hoeleden,Région flamande,Brabant flamand (le),NL
3472,Kersbeek-Miskom,Région flamande,Vlaams-Brabant,NL
3473,Waanrode,Région flamande,Brabant flamand (le),NL
3500,Hasselt,Région flamande,Limbourg (le),NL
3501,Wimmertingen,Région flamande,Limbourg (le),NL
3510,Kermt,Région flamande,Limbourg (le),NL
3511,Kuringen,Région flamande,Limbourg (le),NL
3512,Stevoort,Région flamande,Limbourg (le),NL
3520,Zonhoven,Région flamande,Limbourg (le),NL
3530,Houthalen,Région flamande,Limbourg (le),NL
3540,Herk-de-Stad,Région flamande,Limbourg (le),NL
3545,Halen,Région flamande,Limbourg (le),NL
3550,Zolder,Région flamande,Limbourg (le),NL
3560,Lummen,Région flamande,Limbourg (le),NL
3570,Alken,Région flamande,Limbourg (le),NL
3580,Beringen,Région flamande,Limbourg (le),NL
3581,Beverlo,Région flamande,Limbourg (le),NL
3582,Koersel,Région flamande,Limbourg (le),NL
3583,Paal,Région flamande,Limbourg (le),NL
3590,Diepenbeek,Région flamande,Limbourg (le),NL
3600,Genk,Région flamande,Limbourg (le),NL
3620,Lanaken,Région flamande,Limbourg (le),NL
3621,Rekem,Région flamande,Limbourg (le),NL
3630,Mechelen-aan-de-Maas,Région flamande,Limbourg (le),NL
3631,Uikhoven,Région flamande,Limbourg (le),NL
3640,Molenbeersel,Région flamande,Limbourg (le),NL
3650,Dilsen,Région flamande,Limbourg (le),NL
3660,Opglabbeek,Région flamande,Limbourg (le),NL
3665,As,Région flamande,Limbourg (le),NL
3668,Niel-bij-As,Région flamande,Limbourg (le),NL
3670,Gruitrode,Région flamande,Limbourg (le),NL
3680,Neeroeteren,Région flamande,Limbourg (le),NL
3690,Zutendaal,Région flamande,Limbourg (le),NL
3700,Tongeren,Région flamande,Limbourg (le),NL
3717,Herstappe,Région flamande,Limbourg (le),NL-fr
3720,Kortessem,Région flamande,Limbourg (le),NL
3721,Vliermaalroot,Région flamande,Limbourg (le),NL
3722,Wintershoven,Région flamande,Limbourg (le),NL
3723,Guigoven,Région flamande,Limbourg (le),NL
3724,Vliermaal,Région flamande,Limbourg (le),NL
3730,Hoeselt,Région flamande,Limbourg (le),NL
3732,Schalkhoven,Région flamande,Limbourg (le),NL
3740,Bilzen,Région flamande,Limbourg (le),NL
3742,Martenslinde,Région flamande,Limbourg (le),NL
3746,Waltwilder,Région flamande,Limbourg (le),NL
3770,Riemst,Région flamande,Limbourg (le),NL
3790,Sint-Martens-Voeren,Région flamande,Limbourg (le),NL-fr
3790,Moelingen,Région flamande,Limbourg (le),NL-fr
3791,Remersdaal,Région flamande,Limbourg (le),NL-fr
3792,Sint-Pieters-Voeren,Région flamande,Limbourg (le),NL-fr
3793,Teuven,Région flamande,Limbourg (le),NL-fr
3798,'s-Gravenvoeren,Région flamande,Limbourg (le),NL-fr
3800,Brustem,Région flamande,Limbourg (le),NL
3803,Duras,Région flamande,Limbourg (le),NL
3806,Velm,Région flamande,Limbourg (le),NL
3830,Wellen,Région flamande,Limbourg (le),NL
3831,Herten,Région flamande,Limbourg (le),NL
3832,Ulbeek,Région flamande,Limbourg (le),NL
3840,Borgloon,Région flamande,Limbourg (le),NL
3850,Nieuwerkerken,Région flamande,Limbourg (le),NL
3870,Heers,Région flamande,Limbourg (le),NL
3890,Borlo,Région flamande,Limbourg (le),NL
3891,Buvingen,Région flamande,Limbourg (le),NL
3900,Overpelt,Région flamande,Limbourg (le),NL
3910,Neerpelt,Région flamande,Limbourg (le),NL
3920,Lommel,Région flamande,Limbourg (le),NL
3930,Achel,Région flamande,Limbourg (le),NL
3940,Hechtel,Région flamande,Limbourg (le),NL
3941,Eksel,Région flamande,Limbourg (le),NL
3945,Kwaadmechelen,Région flamande,Limbourg (le),NL
3950,Bocholt,Région flamande,Limbourg (le),NL
3960,Bree,Région flamande,Limbourg (le),NL
3970,Leopoldsburg,Région flamande,Limbourg (le),NL
3971,Heppen,Région flamande,Limbourg (le),NL
3980,Tessenderlo,Région flamande,Limbourg (le),NL
3990,Peer,Région flamande,Limbourg (le),NL
4000,Liège,Région wallonne,Liège,FR
4000,Angleur,Région wallonne,Liège,FR
4020,Jupille-sur-Meuse,Région wallonne,Liège,FR
4030,Grivegnée,Région wallonne,Liège,FR
4031,Angleur,Région wallonne,Liège,FR
4032,Chênée,Région wallonne,Liège,FR
4040,Herstal,Région wallonne,Liège,FR
4041,Milmort,Région wallonne,Liège,FR
4042,Liers,Région wallonne,Liège,FR
4050,Chaudfontaine,Région wallonne,Liège,FR
4051,Vaux-sous-Chèvremont,Région wallonne,Liège,FR
4052,Beaufays,Région wallonne,Liège,FR
4053,Embourg,Région wallonne,Liège,FR
4099,Awans,Région wallonne,Liège,FR
4100,Seraing,Région wallonne,Liège,FR
4101,Jemeppe,Région wallonne,Liège,FR
4102,Ougrée,Région wallonne,Liège,FR
4120,Rotheux-Rimière,Région wallonne,Liège,FR
4121,Neuville-en-Condroz,Région wallonne,Liège,FR
4122,Plainevaux,Région wallonne,Liège,FR
4130,Esneux,Région wallonne,Liège,FR
4140,Sprimont,Région wallonne,Liège,FR
4141,Louveigné,Région wallonne,Liège,FR
4160,Anthisnes,Région wallonne,Liège,FR
4161,Villers-aux-Tours,Région wallonne,Liège,FR
4162,Hody,Région wallonne,Liège,FR
4163,Tavier,Région wallonne,Liège,FR
4170,Comblain-au-Pont,Région wallonne,Liège,FR
4171,Poulseur,Région wallonne,Liège,FR
4180,Hamoir,Région wallonne,Liège,FR
4181,Filot,Région wallonne,Liège,FR
4190,Ferrières,Région wallonne,Liège,FR
4210,Lamontzée,Région wallonne,Liège,FR
4217,Héron,Région wallonne,Liège,FR
4218,Couthuin,Région wallonne,Liège,FR
4219,Meeffe,Région wallonne,Liège,FR
4250,Geer,Région wallonne,Liège,FR
4252,Omal,Région wallonne,Liège,FR
4253,Darion,Région wallonne,Liège,FR
4254,Ligney,Région wallonne,Liège,FR
4257,Corswarem,Région wallonne,Liège,FR
4260,Ville-en-Hesbaye,Région wallonne,Liège,FR
4260,Fallais,Région wallonne,Liège,FR
4261,Latinne,Région wallonne,Liège,FR
4263,Tourinne,Région wallonne,Liège,FR
4280,Hannut,Région wallonne,Liège,FR
4287,Lincent,Région wallonne,Liège,FR
4300,Waremme,Région wallonne,Liège,FR
4317,Celles,Région wallonne,Liège,FR
4340,Villers-l'Évêque,Région wallonne,Liège,FR
4342,Hognoul,Région wallonne,Liège,FR
4347,Fexhe-le-Haut-Clocher,Région wallonne,Liège,FR
4350,Lamine,Région wallonne,Liège,FR
4351,Hodeige,Région wallonne,Liège,FR
4357,Donceel,Région wallonne,Liège,FR
4360,Lens-sur-Geer,Région wallonne,Liège,FR
4367,Crisnée,Région wallonne,Liège,FR
4400,Chokier,Région wallonne,Liège,FR
4420,Saint-Nicolas,Région wallonne,Liège,FR
4430,Ans,Région wallonne,Liège,FR
4431,Loncin,Région wallonne,Liège,FR
4432,Alleur,Région wallonne,Liège,FR
4450,Villers-Saint-Siméon,Région wallonne,Liège,FR
4451,Voroux-lez-Liers,Région wallonne,Liège,FR
4452,Wihogne,Région wallonne,Liège,FR
4453,Villers-Saint-Siméon,Région wallonne,Liège,FR
4458,Fexhe-Slins,Région wallonne,Liège,FR
4460,Velroux,Région wallonne,Liège,FR
4470,Saint-Georges-sur-Meuse,Région wallonne,Liège,FR
4480,Clermont-sous-Huy,Région wallonne,Liège,FR
4500,Ben-Ahin,Région wallonne,Liège,FR
4520,Moha,Région wallonne,Liège,FR
